Cliente,valorTotal,qCom,uCom,vProd,vUnCom,xProd,indTot,qCom (2),uCom (2),vProd (2),vUnCom (2),xProd (2),indTot (2),qCom (3),uCom (3),vProd (3),vUnCom (3),xProd (3),indTot (3),qCom (4),uCom (4),vProd (4),vUnCom (4),xProd (4),Scored Labels
1,94.94,1,UN,4.5,4.5,SUCO,1,1,UN,3.5,3.5,AGUA,1,1.202,KG,82.45,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,86.0998651408786
2,89.69,1,UN,3.5,3.5,AGUA,1,1.06,KG,72.71,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,1,1,UN,4.5,4.5,CERVEJA,86.0612170906279
3,137.28,1,UN,3.5,3.5,AGUA,1,1.754,KG,120.32,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,1,1,UN,4.5,4.5,REFRIGERANTE,86.0225690403771
4,280.21,2,UN,33.6,16.8,WHISKY,1,5,UN,22.5,4.5,SUCO,1,2.794,KG,191.66,68.6,BUFFET,1,5,UN,32.5,6.5,CERVEJA LATA,85.9839209901264
5,142.99,1,UN,21.6,21.6,SUSHI ESPECIAL,1,1,UN,76.8,76.8,SUSHI ESPECIAL,1,1,UN,3.5,3.5,AGUA,1,1,UN,1,1,CHA,85.9452729398757
6,115.23,2,UN,9,4.5,SUCO,1,1,UN,4.9,4.9,SUCO,1,1.412,KG,96.86,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,85.906624889625
7,212.91,1,UN,3.5,3.5,AGUA,1,2,UN,7,3.5,AGUA,1,2.82,KG,193.45,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,85.8679768393743
8,232.38,1,UN,21.6,21.6,SASHIMI,1,3,UN,13.5,4.5,LIMONADA,1,2,UN,12,6,CERVEJA LATA,1,2.57,KG,176.3,68.6,BUFFET,85.8293287891235
9,80.42,3,UN,10.5,3.5,AGUA,1,1,UN,1,1,CHA,1,0.808,KG,55.42,68.6,BUFFET,1,3,UN,13.5,4.5,REFRIGERANTE,85.7906807388728
10,122.02,3,UN,10.5,3.5,AGUA,1,1.33,KG,91.23,68.6,BUFFET,1,3,UN,13.5,4.5,REFRIGERANTE,1,1,UN,6.8,6.8,HARUMAKI,85.7520326886221
11,119.95,3,UN,13.5,4.5,SUCO,1,3,UN,10.5,3.5,AGUA,1,1.202,KG,82.45,68.6,BUFFET,1,3,UN,13.5,4.5,SUCO,85.7133846383714
12,108.24,3,UN,10.5,3.5,AGUA,1,6,UN,21,3.5,AGUA,1,1,UN,3.5,3.5,CAFE EXPRESSO,1,1.068,KG,73.26,68.6,BUFFET,85.6747365881207
13,95.52,3,UN,13.5,4.5,SUCO,1,3,UN,10.5,3.5,AGUA,1,0.846,KG,58.03,68.6,BUFFET,1,3,UN,13.5,4.5,REFRIGERANTE,85.6360885378699
14,90.42,1,UN,1,1,CHA,1,0.91,KG,62.42,68.6,BUFFET,1,3,UN,13.5,4.5,REFRIGERANTE,1,3,UN,13.5,4.5,REFRIGERANTE,85.5974404876192
15,85.24,3,UN,10.5,3.5,AGUA,1,1,UN,1,1,CHA,1,3,UN,3,1,CHA,1,1,UN,16,16,WHISKY,85.5587924373685
16,349.47,1,UN,38.4,38.4,YAKISSOBA,1,1,UN,43.2,43.2,YAKISSOBA,1,2.79,KG,191.39,68.6,BUFFET,1,6,UN,27,4.5,REFRIGERANTE,85.5201443871178
17,61.89,3,UN,10.5,3.5,AGUA,1,3,UN,10.5,3.5,AGUA,1,1,UN,12.5,12.5,WHISKY,1,0.414,KG,28.4,68.6,BUFFET,85.481496336867
18,153.18,3,UN,10.5,3.5,AGUA,1,1.49,KG,102.21,68.6,BUFFET,1,3,UN,13.5,4.5,REFRIGERANTE,1,3,UN,13.5,4.5,REFRIGERANTE,85.4428482866163
